curie	label	scope	text	language	type	contributor	date
QUALO:0000036	bachelor of science in biology	oboInOwl:hasExactSynonym	Degree in Biology	en		0000-0003-4423-4370	2024-10-27
QUALO:0000036	bachelor of science in biology	oboInOwl:hasExactSynonym	Licenciada en Biología	es		0000-0003-4423-4370	2024-10-27
QUALO:0000080	bachelor of arts in biology	oboInOwl:hasExactSynonym	BA Biology	en		0000-0003-4423-4370	2024-10-27
QUALO:0000080	bachelor of arts in biology	oboInOwl:hasExactSynonym	B.A. Biology	en		0000-0003-4423-4370	2024-10-27
QUALO:0000068	doctor of medicine	oboInOwl:hasExactSynonym	Medical Doctor (MD)	en		0000-0003-4423-4370	2024-10-27
QUALO:0000068	doctor of medicine	oboInOwl:hasExactSynonym	Medical Doctor	en		0000-0003-4423-4370	2024-10-27
QUALO:0000068	doctor of medicine	oboInOwl:hasExactSynonym	Doctor of Medicine (MD)	en		0000-0003-4423-4370	2024-10-27
QUALO:0000068	doctor of medicine	oboInOwl:hasExactSynonym	Doctora en Medicina	es		0000-0003-4423-4370	2024-10-27
QUALO:0000068	doctor of medicine	oboInOwl:hasExactSynonym	Graduação em Medicina	pt		0000-0003-4423-4370	2024-10-27
QUALO:0000068	doctor of medicine	oboInOwl:hasExactSynonym	MD Candidate	en		0000-0003-4423-4370	2024-10-27
QUALO:0000068	doctor of medicine	oboInOwl:hasExactSynonym	Dr. med.	en		0000-0003-4423-4370	2024-10-27
QUALO:0000068	doctor of medicine	oboInOwl:hasExactSynonym	Medical Degree	en		0000-0003-4423-4370	2024-10-27
QUALO:0000068	doctor of medicine	oboInOwl:hasExactSynonym	M.D	en		0000-0003-4423-4370	2024-10-27
QUALO:0000067	doctor of law	oboInOwl:hasExactSynonym	J.D.	en		0000-0003-4423-4370	2024-10-27
QUALO:0000067	doctor of law	oboInOwl:hasExactSynonym	Doctor en Derecho	es		0000-0003-4423-4370	2024-10-27
QUALO:0000067	doctor of law	oboInOwl:hasExactSynonym	doctoroflaw	en		0000-0003-4423-4370	2024-10-27
QUALO:0000067	doctor of law	oboInOwl:hasExactSynonym	Juris Doctor	en		0000-0003-4423-4370	2024-10-27
QUALO:0000065	doctor of science	oboInOwl:hasExactSynonym	Doctor en Ciencias	es		0000-0003-4423-4370	2024-10-27
QUALO:0000065	doctor of science	oboInOwl:hasExactSynonym	D.Sc.	en		0000-0003-4423-4370	2024-10-27
QUALO:0000098	doctor of philosophy in civil engineering	oboInOwl:hasExactSynonym	Ph.D. in Civil Engineering	en		0000-0003-4423-4370	2024-10-27
QUALO:0000101	doctor of philosophy in geology	oboInOwl:hasExactSynonym	PhD in Geology	en		0000-0003-4423-4370	2024-10-27
QUALO:0000089	doctor of philosophy in electrical engineering	oboInOwl:hasExactSynonym	PhD Electrical Engineering	en		0000-0003-4423-4370	2024-10-27
QUALO:0000089	doctor of philosophy in electrical engineering	oboInOwl:hasExactSynonym	PhD in Electrical Engineering	en		0000-0003-4423-4370	2024-10-27
QUALO:0000082	doctor of philosophy in biology	oboInOwl:hasExactSynonym	PhD in Biology	en		0000-0003-4423-4370	2024-10-27
QUALO:0000082	doctor of philosophy in biology	oboInOwl:hasExactSynonym	PhD Biology	en		0000-0003-4423-4370	2024-10-27
QUALO:0000082	doctor of philosophy in biology	oboInOwl:hasExactSynonym	PhD Biological Sciences	en		0000-0003-4423-4370	2024-10-27
QUALO:0000082	doctor of philosophy in biology	oboInOwl:hasExactSynonym	Ph.D. Biology	en		0000-0003-4423-4370	2024-10-27
QUALO:0000082	doctor of philosophy in biology	oboInOwl:hasExactSynonym	PhD Biology	en		0000-0003-4423-4370	2024-10-27
QUALO:0000082	doctor of philosophy in biology	oboInOwl:hasExactSynonym	Ph.D. in Biology	en		0000-0003-4423-4370	2024-10-27
QUALO:0000082	doctor of philosophy in biology	oboInOwl:hasExactSynonym	PhD Biomedical Sciences	en		0000-0003-4423-4370	2024-10-27
QUALO:0000082	doctor of philosophy in biology	oboInOwl:hasNarrowSynonym	PhD in Molecular Biology	en		0000-0003-4423-4370	2024-10-27
QUALO:0000082	doctor of philosophy in biology	oboInOwl:hasNarrowSynonym	PhD in Biological Sciences	en		0000-0003-4423-4370	2024-10-27
QUALO:0000082	doctor of philosophy in biology	oboInOwl:hasNarrowSynonym	PhD in Microbiology	en		0000-0003-4423-4370	2024-10-27
QUALO:0000082	doctor of philosophy in biology	oboInOwl:hasNarrowSynonym	PhD Microbiology	en		0000-0003-4423-4370	2024-10-27
QUALO:0000076	bachelor of science with honors	oboInOwl:hasExactSynonym	bsc (honours)	en		0000-0003-4423-4370	2024-10-27
QUALO:0000102	master of science with honors	oboInOwl:hasExactSynonym	msc (honours)	en		0000-0003-4423-4370	2024-10-27
QUALO:0000102	master of science with honors	oboInOwl:hasExactSynonym	msc (honors)	en		0000-0003-4423-4370	2024-10-27
QUALO:0000103	doctor of philosophy in geography	oboInOwl:hasExactSynonym	PhD Geography	en		0000-0003-4423-4370	2024-10-27
QUALO:0000103	doctor of philosophy in geography	oboInOwl:hasExactSynonym	PhD in Geography	en		0000-0003-4423-4370	2024-10-27
QUALO:0000081	doctor of philosophy in computer science	oboInOwl:hasExactSynonym	PhD in Computer Science	en		0000-0003-4423-4370	2024-10-27
QUALO:0000081	doctor of philosophy in computer science	oboInOwl:hasExactSynonym	PhD Computer Science	en		0000-0003-4423-4370	2024-10-27
QUALO:0000098	doctor of philosophy in civil engineering	oboInOwl:hasExactSynonym	PhD in Civil Engineering	en		0000-0003-4423-4370	2024-10-27
QUALO:0000098	doctor of philosophy in civil engineering	oboInOwl:hasExactSynonym	PhD Civil Engineering	en		0000-0003-4423-4370	2024-10-27
QUALO:0000104	doctor of philosophy in biochemistry	oboInOwl:hasExactSynonym	Ph.D. Biochemistry	en		0000-0003-4423-4370	2024-10-27
QUALO:0000104	doctor of philosophy in biochemistry	oboInOwl:hasExactSynonym	PhD in Biochemistry and Molecular Biology	en		0000-0003-4423-4370	2024-10-27
QUALO:0000104	doctor of philosophy in biochemistry	oboInOwl:hasExactSynonym	PhD in Biochemistry	en		0000-0003-4423-4370	2024-10-27
QUALO:0000088	doctor of philosophy in engineering	oboInOwl:hasExactSynonym	PhD Engineering	en		0000-0003-4423-4370	2024-10-27
QUALO:0000088	doctor of philosophy in engineering	oboInOwl:hasExactSynonym	PhD in Engineering	en		0000-0003-4423-4370	2024-10-27
QUALO:0000088	doctor of philosophy in engineering	oboInOwl:hasExactSynonym	Dr.Eng.	en		0000-0003-4423-4370	2024-10-27
QUALO:0000088	doctor of philosophy in engineering	oboInOwl:hasExactSynonym	Dr. Eng	en		0000-0003-4423-4370	2024-10-27
QUALO:0000088	doctor of philosophy in engineering	oboInOwl:hasExactSynonym	Dr.-Ing.	de		0000-0003-4423-4370	2024-10-27
QUALO:0000105	doctor of philosophy in industrial engineering	oboInOwl:hasExactSynonym	PhD in Industrial Engineering	en		0000-0003-4423-4370	2024-10-27
QUALO:0000105	doctor of philosophy in industrial engineering	oboInOwl:hasExactSynonym	PhD Industrial Engineering	en		0000-0003-4423-4370	2024-10-27
QUALO:0000092	doctor of philosophy in mechanical engineering	oboInOwl:hasExactSynonym	PhD Mechanical Engineering	en		0000-0003-4423-4370	2024-10-27
QUALO:0000092	doctor of philosophy in mechanical engineering	oboInOwl:hasExactSynonym	PhD in Mechanical Engineering	en		0000-0003-4423-4370	2024-10-27
QUALO:0000091	doctor of philosophy in electrical and computer engineering	oboInOwl:hasExactSynonym	PhD in Electrical and Computer Engineering	en		0000-0003-4423-4370	2024-10-27
QUALO:0000091	doctor of philosophy in electrical and computer engineering	oboInOwl:hasExactSynonym	PhD Electrical and Computer Engineering	en		0000-0003-4423-4370	2024-10-27
QUALO:0000090	doctor of philosophy in chemical engineering	oboInOwl:hasExactSynonym	Ph.D. Chemical Engineering	en		0000-0003-4423-4370	2024-10-27
QUALO:0000090	doctor of philosophy in chemical engineering	oboInOwl:hasExactSynonym	Ph.D. in Chemical Engineering	en		0000-0003-4423-4370	2024-10-27
QUALO:0000093	doctor of philosophy in biomedical engineering	oboInOwl:hasExactSynonym	PhD Biomedical Engineering	en		0000-0003-4423-4370	2024-10-27
QUALO:0000093	doctor of philosophy in biomedical engineering	oboInOwl:hasExactSynonym	PhD in Biomedical Engineering	en		0000-0003-4423-4370	2024-10-27
QUALO:0000093	doctor of philosophy in biomedical engineering	oboInOwl:hasExactSynonym	PhD in Bioengineering	en		0000-0003-4423-4370	2024-10-27
QUALO:0000106	doctor of philosophy in computer engineering	oboInOwl:hasExactSynonym	PhD in Computer Engineering	en		0000-0003-4423-4370	2024-10-27
QUALO:0000106	doctor of philosophy in computer engineering	oboInOwl:hasExactSynonym	PhD Computer Engineering	en		0000-0003-4423-4370	2024-10-27
QUALO:0000107	doctor of philosophy in materials engineering	oboInOwl:hasExactSynonym	PhD in Materials Engineering	en		0000-0003-4423-4370	2024-10-27
QUALO:0000107	doctor of philosophy in materials engineering	oboInOwl:hasExactSynonym	PhD Materials Engineering	en		0000-0003-4423-4370	2024-10-27
QUALO:0000107	doctor of philosophy in materials engineering	oboInOwl:hasExactSynonym	PhD Material Engineering	en		0000-0003-4423-4370	2024-10-27
QUALO:0000107	doctor of philosophy in materials engineering	oboInOwl:hasExactSynonym	PhD in Material Engineering	en		0000-0003-4423-4370	2024-10-27
QUALO:0000108	doctor of philosophy in environmental engineering	oboInOwl:hasExactSynonym	PhD in Environmental Engineering	en		0000-0003-4423-4370	2024-10-27
QUALO:0000108	doctor of philosophy in environmental engineering	oboInOwl:hasExactSynonym	PhD Environmental Engineering	en		0000-0003-4423-4370	2024-10-27
QUALO:0000108	doctor of philosophy in environmental engineering	oboInOwl:hasExactSynonym	PhD Environment Engineering	en		0000-0003-4423-4370	2024-10-27
QUALO:0000108	doctor of philosophy in environmental engineering	oboInOwl:hasExactSynonym	PhD in Environment Engineering	en		0000-0003-4423-4370	2024-10-27
QUALO:0000109	doctor of philosophy in physics	oboInOwl:hasExactSynonym	PhD Physics	en		0000-0003-4423-4370	2024-10-27
QUALO:0000109	doctor of philosophy in physics	oboInOwl:hasExactSynonym	PhD in Physics	en		0000-0003-4423-4370	2024-10-27
QUALO:0000109	doctor of philosophy in physics	oboInOwl:hasExactSynonym	PhD (Physics)	en		0000-0003-4423-4370	2024-10-27
QUALO:0000109	doctor of philosophy in physics	oboInOwl:hasExactSynonym	Physics PhD	en		0000-0003-4423-4370	2024-10-27
QUALO:0000111	doctor of philosophy in theoretical physics	oboInOwl:hasExactSynonym	PhD in Theoretical Physics	en		0000-0003-4423-4370	2024-10-27
QUALO:0000111	doctor of philosophy in theoretical physics	oboInOwl:hasExactSynonym	PhD Theoretical Physics	en		0000-0003-4423-4370	2024-10-27
QUALO:0000110	doctor of philosophy in astrophysics	oboInOwl:hasExactSynonym	PhD in Astrophysics	en		0000-0003-4423-4370	2024-10-27
QUALO:0000110	doctor of philosophy in astrophysics	oboInOwl:hasExactSynonym	PhD Astrophysics	en		0000-0003-4423-4370	2024-10-27
QUALO:0000042	bachelor of science in physics	oboInOwl:hasExactSynonym	B.S. Physics	en		0000-0003-4423-4370	2024-10-27
