curie	label	scope	text	language	type	contributor	date
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Ph.D./Dr.	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	Ph.D/Dr	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	PhD	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	PhD (Dr. rer. nat.)	de		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	PhD (in progress)	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	PhD Fellow	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	PhD Research Scholar	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	PhD Scholar	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	PhD Thesis	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	PhD degree	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	PhD student	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	PhD studies	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	PhD.	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	RNDr.	de		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	dphil	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	ph d	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	phd candidate	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	phd researcher	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000016	doctor of philosophy	oboInOwl:hasExactSynonym	博士研究生	zh		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000019	doctor of philosophy in mathematics	oboInOwl:hasExactSynonym	PhD Mathematics	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000019	doctor of philosophy in mathematics	oboInOwl:hasNarrowSynonym	PhD in Applied Mathematics	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000019	doctor of philosophy in mathematics	oboInOwl:hasExactSynonym	PhD in Mathematics	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000020	doctor of philosophy in history	oboInOwl:hasExactSynonym	PhD History	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000020	doctor of philosophy in history	oboInOwl:hasExactSynonym	PhD in History	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000024	bachelor of science	oboInOwl:hasExactSynonym	B. Sc.	en		orcid:0000-0003-4423-4370	
QUALO:0000024	bachelor of science	oboInOwl:hasExactSynonym	B.S.	en		orcid:0000-0003-4423-4370	
QUALO:0000024	bachelor of science	oboInOwl:hasExactSynonym	B.S. degree	en		orcid:0000-0003-4423-4370	
QUALO:0000024	bachelor of science	oboInOwl:hasExactSynonym	B.Sc	en		orcid:0000-0003-4423-4370	
QUALO:0000024	bachelor of science	oboInOwl:hasExactSynonym	BSc.	en		orcid:0000-0003-4423-4370	
QUALO:0000024	bachelor of science	oboInOwl:hasExactSynonym	Bacharel em Ciências Biológicas	pt		orcid:0000-0003-4423-4370	
QUALO:0000024	bachelor of science	oboInOwl:hasExactSynonym	Bachelor in Science	en		orcid:0000-0003-4423-4370	2024-10-29
QUALO:0000024	bachelor of science	oboInOwl:hasExactSynonym	Bachelor of Science (B.Sc.)	en		orcid:0000-0003-4423-4370	2024-10-29
QUALO:0000024	bachelor of science	oboInOwl:hasExactSynonym	Bachelor of Science (BSc)	en		orcid:0000-0003-4423-4370	2024-10-29
QUALO:0000024	bachelor of science	oboInOwl:hasExactSynonym	Bachelor's of Science	en		orcid:0000-0003-4423-4370	
QUALO:0000024	bachelor of science	oboInOwl:hasExactSynonym	Bachelors of Science	en		orcid:0000-0003-4423-4370	
QUALO:0000024	bachelor of science	oboInOwl:hasExactSynonym	Bachlor of Science	en		orcid:0000-0003-4423-4370	
QUALO:0000024	bachelor of science	oboInOwl:hasExactSynonym	bs	en		orcid:0000-0003-4423-4370	
QUALO:0000024	bachelor of science	oboInOwl:hasExactSynonym	bs c	en		orcid:0000-0003-4423-4370	
QUALO:0000024	bachelor of science	oboInOwl:hasExactSynonym	bsc	en	OMO:0003000	orcid:0000-0003-4423-4370	
QUALO:0000024	bachelor of science	oboInOwl:hasExactSynonym	bsc candidate	en		orcid:0000-0003-4423-4370	
QUALO:0000025	bachelor of nursing	oboInOwl:hasExactSynonym	Bacharel em Enfermagem	pt		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000025	bachelor of nursing	oboInOwl:hasExactSynonym	Bacharelado em Enfermagem	pt		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000025	bachelor of nursing	oboInOwl:hasExactSynonym	Graduação em Enfermagem	pt		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000025	bachelor of nursing	oboInOwl:hasExactSynonym	Licenciada en Enfermería	es		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000026	bachelor of veterinary science	oboInOwl:hasExactSynonym	BVSc	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000027	bachelor of pharmacy	oboInOwl:hasExactSynonym	B. Pharmacy	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000027	bachelor of pharmacy	oboInOwl:hasExactSynonym	B.Pharm	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000027	bachelor of pharmacy	oboInOwl:hasExactSynonym	B.Pharmacy	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000027	bachelor of pharmacy	oboInOwl:hasExactSynonym	Bachelor in Pharmacy	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000028	bachelor of engineering	oboInOwl:hasExactSynonym	B.Eng	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000028	bachelor of engineering	oboInOwl:hasExactSynonym	B.Eng.	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000028	bachelor of engineering	oboInOwl:hasExactSynonym	BEng	en		orcid:0000-0003-4423-4370	2024-10-27
QUALO:0000028	bachelor of engineering	oboInOwl:hasExactSynonym	Bachelor of Engineering (B.E)	en		orcid:0000-0003-4423-4370	2024-10-27
